Detailed Statistics Departures  
Origin Airport: San Francisco, CA: San Francisco International (SFO)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes)
"UA","12/20/2022","2481","N76517","LAX","13:30","13:25","95","79","-5"
"UA","12/20/2022","2482","N37523","FLL","22:53","22:50","329","312","-3"
"UA","12/20/2022","2484","N793UA","MCO","09:00","09:07","309","304","7"
"UA","12/20/2022","2600","N37513","MIA","08:37","08:39","333","328","2"
"UA","12/20/2022","2602","N880UA","PDX","16:55","16:59","114","104","4"
"UA","12/20/2022","2612","N38446","SEA","12:43","13:50","138","127","67"
"UA","12/20/2022","2617","N486UA","LAX","08:25","08:26","101","74","1"
"UA","12/20/2022","2626","N27520","IAD","16:52","16:44","302","285","-8"
"UA","12/20/2022","2628","N809UA","PSP","08:35","08:28","102","93","-7"
"UA","12/20/2022","2630","N33286","PHL","23:04","23:03","323","315","-1"
"UA","12/20/2022","2640","N75853","ORD","10:36","10:37","259","239","1"
"UA","12/20/2022","2641","N24211","SAN","18:45","21:33","98","88","168"
"UA","12/20/2022","2644","N62884","RDU","09:10","09:10","310","302","0"
"UA","12/20/2022","2655","N37527","MSY","10:35","10:28","245","230","-7"
"UA","12/20/2022","2656","N69888","SAN","22:35","22:45","101","79","10"
"UA","12/20/2022","2678","N14237","LAS","13:09","13:01","100","99","-8"
"UA","12/20/2022","2680","N407UA","SNA","13:25","13:15","96","78","-10"
"UA","12/20/2022","2682","N892UA","BUR","10:45","10:56","84","72","11"
"UA","12/21/2022","0190","N37523","HNL","18:55","18:55","349","362","0"
"UA","12/21/2022","0221","N47517","MCO","23:08","23:05","315","297","-3"
"UA","12/21/2022","0300","N210UA","HNL","13:10","13:10","336","385","0"
"UA","12/21/2022","0372","N73259","PHX","16:35","16:40","123","115","5"
"UA","12/21/2022","0436","N37514","BWI","22:59","23:00","312","285","1"
"UA","12/21/2022","0447","N494UA","SEA","16:31","16:29","144","141","-2"
"UA","12/21/2022","0451","N61881","ORD","14:00","13:58","258","246","-2"
"UA","12/21/2022","0476","N775UA","ORD","23:55","00:49","246","235","54"
"UA","12/21/2022","0487","N27520","IAD","10:50","10:48","304","292","-2"
"UA","12/21/2022","0505","N779UA","IAH","23:55","00:27","222","200","32"
"UA","12/21/2022","0568","N27519","DEN","11:00","11:01","162","153","1"
"UA","12/21/2022","0574","N822UA","SAT","18:32","18:32","207","188","0"
"UA","12/21/2022","0583","N68802","IAH","05:15","05:08","233","234","-7"
"UA","12/21/2022","0605","N842UA","PDX","07:34","07:41","114","103","7"
"UA","12/21/2022","0611","N18220","SBA","10:50","11:05","79","70","15"
"UA","12/21/2022","0683","N460UA","EUG","19:00","19:04","100","101","4"
"UA","12/21/2022","0693","N837UA","ABQ","11:13","11:36","148","128","23"
"UA","12/21/2022","0729","N68802","ORD","16:44","16:56","250","245","12"
"UA","12/21/2022","0733","N68822","DEN","20:29","20:26","150","191","-3"
"UA","12/21/2022","0753","N68823","ATL","10:45","10:43","282","270","-2"
"UA","12/21/2022","0762","N62849","IAH","11:02","11:13","235","221","11"
"UA","12/21/2022","0793","N68836","ORD","08:30","08:23","264","255","-7"
"UA","12/21/2022","1041","N61881","SAN","08:25","08:21","103","79","-4"
"UA","12/21/2022","1049","N831UA","RNO","18:47","18:56","64","59","9"
"UA","12/21/2022","1082","N75429","LAX","16:10","16:03","96","78","-7"
"UA","12/21/2022","1111","N87527","LIH","08:33","08:30","361","357","-3"
"UA","12/21/2022","1115","N77431","DEN","14:28","14:42","155","147","14"
"UA","12/21/2022","1124","N414UA","MCI","18:35","18:31","204","203","-4"
"UA","12/21/2022","1167","","MSP","08:35","00:00","220","0","0"
"UA","12/21/2022","1175","N2243U","HNL","09:15","09:15","338","332","0"
"UA","12/21/2022","1200","N37528","LAX","18:45","18:46","96","81","1"
"UA","12/21/2022","1204","N475UA","PIT","22:18","22:16","290","281","-2"
"UA","12/21/2022","1216","N37468","DEN","18:45","18:48","156","160","3"
"UA","12/21/2022","1248","N75853","ORD","06:30","06:28","257","240","-2"
"UA","12/21/2022","1273","N76523","OGG","11:13","11:19","348","342","6"
"UA","12/21/2022","1411","N78004","EWR","07:00","06:55","314","301","-5"
"UA","12/21/2022","1428","N19130","EWR","14:30","14:26","333","331","-4"
"UA","12/21/2022","1435","N81449","IAH","14:44","15:04","230","203","20"
"UA","12/21/2022","1442","N2341U","EWR","08:30","08:28","320","304","-2"
"UA","12/21/2022","1509","N219UA","HNL","16:40","16:42","338","323","2"
"UA","12/21/2022","1513","N38257","SNA","10:57","10:54","97","88","-3"
"UA","12/21/2022","1559","N37419","PDX","19:10","19:04","114","103","-6"
"UA","12/21/2022","1594","","SNA","16:42","00:00","93","0","0"
"UA","12/21/2022","1620","N803UA","OMA","18:36","06:52","198","190","736"
"UA","12/21/2022","1665","N58101","BOS","23:30","23:34","337","328","4"
"UA","12/21/2022","1684","N76508","LIH","18:50","18:45","354","342","-5"
"UA","12/21/2022","1721","N779UA","KOA","09:05","09:02","331","324","-3"
"UA","12/21/2022","1723","N777UA","KOA","16:45","17:07","329","320","22"
"UA","12/21/2022","1745","N33264","IAH","13:06","13:06","234","227","0"
"UA","12/21/2022","1749","N773UA","OGG","16:59","17:04","332","324","5"
"UA","12/21/2022","1761","N62849","IAD","23:23","23:27","307","284","4"
"UA","12/21/2022","1770","N875UA","CMH","22:35","22:27","276","269","-8"
"UA","12/21/2022","1788","N822UA","PSP","13:17","13:10","95","84","-7"
"UA","12/21/2022","1823","N484UA","DEN","16:08","16:08","152","153","0"
"UA","12/21/2022","1825","N47517","DFW","13:25","13:26","214","190","1"
"UA","12/21/2022","1826","N215UA","DEN","08:40","08:45","156","141","5"
"UA","12/21/2022","1852","N213UA","OGG","09:05","09:05","331","332","0"
"UA","12/21/2022","1893","N69888","IND","22:59","23:12","257","238","13"
"UA","12/21/2022","1914","N213UA","ORD","22:55","23:16","248","241","21"
"UA","12/21/2022","1927","N38459","ORD","05:15","05:12","262","254","-3"
"UA","12/21/2022","1942","N494UA","PDX","10:45","10:42","118","107","-3"
"UA","12/21/2022","1947","N38454","ORD","18:13","18:19","254","233","6"
"UA","12/21/2022","1950","N62884","IAH","18:52","18:48","229","217","-4"
"UA","12/21/2022","1953","N37422","SEA","20:05","19:56","147","178","-9"
"UA","12/21/2022","1954","N76533","DCA","08:47","08:45","311","292","-2"
"UA","12/21/2022","1986","N76522","SEA","08:25","09:50","147","122","85"
"UA","12/21/2022","1997","N76508","AUS","08:43","08:40","218","203","-3"
"UA","12/21/2022","2002","N782UA","IAD","13:00","13:30","292","279","30"
"UA","12/21/2022","2005","N484UA","BZN","09:26","09:22","142","134","-4"
"UA","12/21/2022","2011","N62884","IAH","00:29","00:29","224","204","0"
"UA","12/21/2022","2027","N803UA","PHX","10:32","10:39","124","118","7"
"UA","12/21/2022","2032","","IAD","08:30","00:00","295","0","0"
"UA","12/21/2022","2034","N76519","LAX","22:35","22:36","84","70","1"
"UA","12/21/2022","2035","N27503","RSW","13:15","13:16","318","294","1"
"UA","12/21/2022","2037","N17104","TPA","09:10","09:46","308","291","36"
"UA","12/21/2022","2041","N37523","SAN","12:58","12:53","99","81","-5"
"UA","12/21/2022","2047","N455UA","SNA","18:53","18:56","92","94","3"
"UA","12/21/2022","2059","N12003","EWR","22:40","22:45","311","294","5"
"UA","12/21/2022","2097","N223UA","EWR","21:00","21:14","312","288","14"
"UA","12/21/2022","2102","N77544","TPA","22:50","22:48","306","289","-2"
"UA","12/21/2022","2169","N402UA","PHX","19:10","19:09","123","135","-1"
"UA","12/21/2022","2187","N58101","BOS","08:25","08:22","337","322","-3"
"UA","12/21/2022","2247","N14118","IAD","22:35","00:59","307","299","144"
"UA","12/21/2022","2296","N38479","IAH","07:47","07:49","233","217","2"
"UA","12/21/2022","2319","N17105","EWR","10:45","10:44","334","359","-1"
"UA","12/21/2022","2327","N77296","AUS","23:59","01:16","209","185","77"
"UA","12/21/2022","2329","N66831","LAS","08:47","08:41","102","84","-6"
"UA","12/21/2022","2337","N37540","BOS","12:55","13:05","336","310","10"
"UA","12/21/2022","2341","N21108","BOS","10:45","11:17","339","341","32"
"UA","12/21/2022","2356","N489UA","AUS","16:35","16:56","212","192","21"
"UA","12/21/2022","2366","N62889","LAS","22:35","22:34","98","81","-1"
"UA","12/21/2022","2368","N76528","DEN","12:55","13:02","157","140","7"
"UA","12/21/2022","2377","N78509","DEN","06:34","06:39","159","160","5"
"UA","12/21/2022","2380","N228UA","HNL","10:55","11:02","338","345","7"
"UA","12/21/2022","2384","N38257","CLE","23:01","22:56","283","275","-5"
"UA","12/21/2022","2396","N37514","BNA","11:06","11:14","261","248","8"
"UA","12/21/2022","2412","N476UA","DFW","10:30","10:58","217","196","28"
"UA","12/21/2022","2419","N791UA","EWR","12:00","12:26","319","299","26"
"UA","12/21/2022","2423","N2645U","EWR","23:50","00:01","311","297","11"
"UA","12/21/2022","2426","N66837","DEN","05:00","05:00","156","139","0"
"UA","12/21/2022","2447","N409UA","EUG","10:40","10:58","103","98","18"
"UA","12/21/2022","2451","N37422","IAH","09:08","09:08","235","223","0"
"UA","12/21/2022","2458","N38257","LAS","16:50","16:44","99","87","-6"
"UA","12/21/2022","2464","N68880","LAX","10:35","10:33","92","74","-2"
"UA","12/21/2022","2481","N76517","LAX","13:30","13:33","95","76","3"
"UA","12/21/2022","2482","N27511","FLL","22:53","23:17","329","295","24"
"UA","12/21/2022","2484","N793UA","MCO","09:00","08:58","309","299","-2"
"UA","12/21/2022","2600","N27511","MIA","08:37","08:38","333","304","1"
"UA","12/21/2022","2602","N892UA","PDX","16:55","16:52","114","102","-3"
"UA","12/21/2022","2612","N38446","SEA","12:43","13:06","138","127","23"
"UA","12/21/2022","2617","N447UA","LAX","08:25","08:26","101","75","1"
